call1_model,strategy,cases,D1_mean_best_score,D1_coverage,D1_precision,D1_f1,D3_mean_best_score,D3_coverage,D3_precision,D3_f1,D4_mean_best_score,D4_coverage,D4_precision,D4_f1,D2_order_score,D2_order_coverage,D2_strict_order_score,overall_mean_score,overall_with_D2_score,D4_global_assumption_mean_best_score,D4_global_assumption_recall,D4_global_assumption_precision,D4_global_assumption_f1,D4_local_assumption_mean_best_score,D4_local_assumption_recall,D4_local_assumption_precision,D4_local_assumption_f1,D4_gt_precondition_mean_best_score,D4_gt_precondition_recall,D4_gt_precondition_precision,D4_gt_precondition_f1,D4_previous_outcome_mean_best_score,D4_previous_outcome_recall,D4_previous_outcome_precision,D4_previous_outcome_f1
llama3.1-8b,self,2,0.625924,0.700000,1.000000,0.785714,0.108298,0.150000,0.500000,0.230769,0.505252,0.397222,1.000000,0.566952,0.500000,0.500000,0.500000,0.413158,0.434868,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.527574,0.464286,1.000000,0.633333,0.376447,0.083334,0.500000,0.142857
llama3.1-8b,seq,2,0.645694,0.750000,0.916667,0.812500,0.122638,0.000000,0.000000,0.000000,0.534210,0.497222,1.000000,0.662531,0.500000,0.500000,0.500000,0.434180,0.450635,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.561753,0.571429,1.000000,0.724638,0.393218,0.166666,0.500000,0.250000
llama3.2-1b,acc,2,0.619302,0.700000,1.000000,0.785714,0.089626,0.050000,0.250000,0.083334,0.500039,0.422222,1.000000,0.593407,0.500000,0.500000,0.500000,0.402989,0.427242,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.520127,0.500000,1.000000,0.666667,0.376447,0.083334,0.500000,0.142857
llama3.2-1b,gtf,2,0.629170,0.850000,1.000000,0.911764,0.239231,0.350000,0.750000,0.416666,0.487376,0.347222,1.000000,0.507692,0.500000,0.500000,0.500000,0.451925,0.463944,0.347300,0.000000,0.000000,0.000000,0.954157,1.000000,1.000000,1.000000,0.501158,0.392857,1.000000,0.555555,0.376447,0.083334,0.500000,0.142857
llama3.2-1b,self,2,0.602593,0.800000,1.000000,0.875000,0.131205,0.150000,0.500000,0.230769,0.512027,0.372222,1.000000,0.538461,0.500000,0.500000,0.500000,0.415275,0.436456,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.537252,0.428571,1.000000,0.596491,0.376447,0.083334,0.500000,0.142857
llama3.2-1b,seq,2,0.654896,0.750000,0.687500,0.606061,0.295665,0.300000,0.500000,0.333334,0.519497,0.513889,0.812500,0.546535,1.000000,0.583333,0.583333,0.490019,0.513348,0.509192,0.500000,0.250000,0.333333,0.975164,1.000000,0.375000,0.545455,0.521403,0.517857,0.750000,0.522222,0.401655,0.583333,1.000000,0.642857
qwen2.5-coder-0.5b,acc,2,0.656798,0.850000,1.000000,0.911764,0.302460,0.100000,0.250000,0.142857,0.453963,0.452778,1.000000,0.616402,0.500000,0.500000,0.500000,0.471074,0.478305,0.527605,0.500000,0.500000,0.500000,0.604716,0.500000,0.500000,0.500000,0.451808,0.464286,0.750000,0.550000,0.392294,0.583333,1.000000,0.642857
qwen2.5-coder-0.5b,gtf,2,0.656429,0.750000,1.000000,0.833333,0.286917,0.350000,0.500000,0.392857,0.562690,0.563889,1.000000,0.696759,1.000000,0.583333,0.583333,0.502012,0.522342,0.655706,0.500000,0.500000,0.500000,0.966575,1.000000,1.000000,1.000000,0.561986,0.589286,1.000000,0.728571,0.466516,0.583333,1.000000,0.642857
qwen2.5-coder-0.5b,self,2,0.499159,0.650000,0.750000,0.687500,0.214244,0.100000,0.250000,0.142857,0.520452,0.422222,1.000000,0.593407,0.500000,0.500000,0.500000,0.411285,0.433464,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.549288,0.500000,1.000000,0.666667,0.376447,0.083334,0.500000,0.142857
qwen2.5-coder-0.5b,seq,2,0.654176,0.850000,0.888889,0.849264,0.316698,0.400000,0.611111,0.384615,0.531093,0.513889,0.944445,0.614815,0.500000,0.500000,0.500000,0.500655,0.500491,0.502874,0.500000,0.666667,0.571429,0.927836,1.000000,0.444444,0.615385,0.519059,0.517857,0.944445,0.629001,0.580096,0.583333,0.812500,0.527473
qwen3-0.6b,acc,2,0.663768,0.700000,0.875000,0.760869,0.284514,0.400000,0.750000,0.480769,0.476050,0.347222,1.000000,0.507692,0.500000,0.583333,0.500000,0.474777,0.481083,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.490843,0.392857,1.000000,0.555555,0.364810,0.083334,0.500000,0.142857
qwen3-0.6b,gtf,2,0.596820,0.850000,1.000000,0.911764,0.121747,0.100000,0.250000,0.142857,0.504070,0.422222,1.000000,0.593407,0.500000,0.500000,0.500000,0.407546,0.430659,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.530805,0.500000,1.000000,0.666667,0.364967,0.083334,0.500000,0.142857
qwen3-0.6b,self,2,0.655347,0.800000,1.000000,0.875000,0.086162,0.050000,0.250000,0.083334,0.520452,0.422222,1.000000,0.593407,0.500000,0.500000,0.500000,0.420654,0.440491,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.549288,0.500000,1.000000,0.666667,0.376447,0.083334,0.500000,0.142857
qwen3-0.6b,seq,2,0.666436,0.850000,1.000000,0.911764,0.101418,0.150000,0.333334,0.206897,0.496235,0.372222,1.000000,0.538461,1.000000,0.583333,0.583333,0.421363,0.461855,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.519612,0.428571,1.000000,0.596491,0.364967,0.083334,0.500000,0.142857
tinyllama,acc,2,0.613695,0.800000,1.000000,0.875000,0.126426,0.150000,0.500000,0.230769,0.465204,0.333333,0.833333,0.472222,0.500000,0.500000,0.500000,0.401774,0.426331,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.496903,0.392857,1.000000,0.555555,0.395491,0.187500,0.500000,0.272728
tinyllama,gtf,2,0.652479,0.750000,1.000000,0.833333,0.282435,0.350000,0.500000,0.392857,0.506150,0.513889,1.000000,0.637500,1.000000,0.583333,0.583333,0.480355,0.506100,0.557786,0.500000,0.500000,0.500000,0.736821,1.000000,1.000000,1.000000,0.514877,0.517857,1.000000,0.650794,0.493850,0.583333,1.000000,0.642857
tinyllama,self,2,0.569715,0.800000,1.000000,0.875000,0.269929,0.100000,0.500000,0.166666,0.494451,0.422222,1.000000,0.593407,0.500000,0.500000,0.500000,0.444698,0.458523,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.517130,0.500000,1.000000,0.666667,0.364810,0.083334,0.500000,0.142857
tinyllama,seq,2,0.519607,0.650000,0.750000,0.687500,0.231648,0.100000,0.250000,0.142857,0.464780,0.366667,0.833333,0.507937,0.500000,0.500000,0.500000,0.405345,0.429009,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.549040,0.500000,1.000000,0.666667,0.349076,0.156250,0.500000,0.238095
