source_file,language,pc,exercise,subquestion_index,field,atom_path,text
data/ground_truth/ch/pc2_q1.yaml,ch,2,1,2,outcomes,subquestions[2].atoms/tuple[2],故服从零均值高斯分布。 \\
data/ground_truth/ch/pc2_q1.yaml,ch,2,1,2,arguments,subquestions[2].atoms/tuple[3],Calculation
data/ground_truth/ch/pc2_q1.yaml,ch,2,1,2,outcomes,subquestions[2].atoms/tuple[3],"即 $\mathbb{E}[X_t X_s] = \min(t,s)$。 \\"
data/ground_truth/ch/pc2_q1.yaml,ch,2,1,2,preconditions,subquestions[2].atoms/tuple[4],轨道连续性：$\lim_{t \to 0^+} X_t = 0$ a.s.，
data/ground_truth/ch/pc2_q1.yaml,ch,2,1,2,preconditions,subquestions[2].atoms/tuple[4],"高斯性：对任意时刻集合，向量 \((X_{t_1}, \dots, X_{t_n})\) 均服从零均值高斯分布，"
data/ground_truth/ch/pc2_q1.yaml,ch,2,1,2,preconditions,subquestions[2].atoms/tuple[4],"协方差结构：$\mathbb{E}[X_t X_s] = \min(t,s)$，"
data/ground_truth/ch/pc2_q1.yaml,ch,2,1,2,preconditions,subquestions[2].atoms/tuple[4],结合初始条件 \(X_0 = 0\)，
data/ground_truth/ch/pc2_q1.yaml,ch,2,1,2,arguments,subquestions[2].atoms/tuple[4],由布朗运动的等价判定性质（part a 结论）
data/ground_truth/ch/pc2_q1.yaml,ch,2,1,2,outcomes,subquestions[2].atoms/tuple[4],可知 \(X\) 亦为布朗运动。
data/ground_truth/ch/pc4_q4.yaml,ch,4,4,,assumption_global,global,$W_t$ 为布朗运动。
data/ground_truth/ch/pc4_q4.yaml,ch,4,4,1,assumptions,subquestions[1].assumptions,$\tau$ 为有界停时，
data/ground_truth/ch/pc4_q4.yaml,ch,4,4,1,preconditions,subquestions[1].atoms/list[1],$(W_t)_{t\geq 0}$ 为鞅。
data/ground_truth/ch/pc4_q4.yaml,ch,4,4,1,preconditions,subquestions[1].atoms/list[1],$\tau$ 为有界停时。
data/ground_truth/ch/pc4_q4.yaml,ch,4,4,1,arguments,subquestions[1].atoms/list[1],对 $(W_t)_{t\geq 0}$ 在停时 $\tau$ 处应用 Doob 可选停时定理 (Optional Stopping Theorem)。
data/ground_truth/ch/pc4_q4.yaml,ch,4,4,1,outcomes,subquestions[1].atoms/list[1],"\[ \mathbb{E}[W_\tau] = 0, \]"
data/ground_truth/ch/pc4_q4.yaml,ch,4,4,2,assumptions,subquestions[2].assumptions,$\tau$ 为有界停时，
data/ground_truth/ch/pc4_q4.yaml,ch,4,4,2,preconditions,subquestions[2].atoms/list[1],$(W_t^2-t)_{t\geq 0}$ 为鞅。
data/ground_truth/ch/pc4_q4.yaml,ch,4,4,2,preconditions,subquestions[2].atoms/list[1],$\tau$ 为有界停时。
data/ground_truth/ch/pc4_q4.yaml,ch,4,4,2,arguments,subquestions[2].atoms/list[1],对过程 $(W_t^2-t)_{t\geq 0}$ 在时刻 $\tau$ 应用 Doob 可选停时定理 (Optional Stopping Theorem)。
data/ground_truth/ch/pc4_q4.yaml,ch,4,4,2,outcomes,subquestions[2].atoms/list[1],\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]。 \]
