status,call1_model,language,variation,exercise,strategy,prediction_path
found,qwen2.5-coder-0.5b,en,baseline,pc2_q1,seq,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/qwen2.5-coder-0.5b/en/baseline/pc2_q1_seq.yaml
found,qwen2.5-coder-0.5b,en,baseline,pc2_q1,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/qwen2.5-coder-0.5b/en/baseline/pc2_q1_acc.yaml
found,qwen2.5-coder-0.5b,en,baseline,pc2_q1,gtf,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/qwen2.5-coder-0.5b/en/baseline/pc2_q1_gtf.yaml
found,qwen2.5-coder-0.5b,en,baseline,pc2_q1,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/qwen2.5-coder-0.5b/en/baseline/pc2_q1_self.yaml
found,qwen2.5-coder-0.5b,en,baseline,pc4_q4,seq,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/qwen2.5-coder-0.5b/en/baseline/pc4_q4_seq.yaml
found,qwen2.5-coder-0.5b,en,baseline,pc4_q4,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/qwen2.5-coder-0.5b/en/baseline/pc4_q4_acc.yaml
found,qwen2.5-coder-0.5b,en,baseline,pc4_q4,gtf,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/qwen2.5-coder-0.5b/en/baseline/pc4_q4_gtf.yaml
found,qwen2.5-coder-0.5b,en,baseline,pc4_q4,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/qwen2.5-coder-0.5b/en/baseline/pc4_q4_self.yaml
found,qwen3-0.6b,en,baseline,pc2_q1,seq,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/qwen3-0.6b/en/baseline/pc2_q1_seq.yaml
found,qwen3-0.6b,en,baseline,pc2_q1,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/qwen3-0.6b/en/baseline/pc2_q1_acc.yaml
found,qwen3-0.6b,en,baseline,pc2_q1,gtf,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/qwen3-0.6b/en/baseline/pc2_q1_gtf.yaml
found,qwen3-0.6b,en,baseline,pc2_q1,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/qwen3-0.6b/en/baseline/pc2_q1_self.yaml
found,qwen3-0.6b,en,baseline,pc4_q4,seq,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/qwen3-0.6b/en/baseline/pc4_q4_seq.yaml
found,qwen3-0.6b,en,baseline,pc4_q4,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/qwen3-0.6b/en/baseline/pc4_q4_acc.yaml
found,qwen3-0.6b,en,baseline,pc4_q4,gtf,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/qwen3-0.6b/en/baseline/pc4_q4_gtf.yaml
found,qwen3-0.6b,en,baseline,pc4_q4,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/qwen3-0.6b/en/baseline/pc4_q4_self.yaml
found,llama3.1-8b,en,baseline,pc2_q1,seq,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.1-8b/en/baseline/pc2_q1_seq.yaml
found,llama3.1-8b,en,baseline,pc2_q1,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.1-8b/en/baseline/pc2_q1_acc.yaml
found,llama3.1-8b,en,baseline,pc2_q1,gtf,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.1-8b/en/baseline/pc2_q1_gtf.yaml
found,llama3.1-8b,en,baseline,pc2_q1,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.1-8b/en/baseline/pc2_q1_self.yaml
found,llama3.1-8b,en,baseline,pc4_q4,seq,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.1-8b/en/baseline/pc4_q4_seq.yaml
found,llama3.1-8b,en,baseline,pc4_q4,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.1-8b/en/baseline/pc4_q4_acc.yaml
found,llama3.1-8b,en,baseline,pc4_q4,gtf,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.1-8b/en/baseline/pc4_q4_gtf.yaml
found,llama3.1-8b,en,baseline,pc4_q4,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.1-8b/en/baseline/pc4_q4_self.yaml
found,deepseek-r1-7b,en,baseline,pc2_q1,seq,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/en/baseline/pc2_q1_seq.yaml
found,deepseek-r1-7b,en,baseline,pc2_q1,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/en/baseline/pc2_q1_acc.yaml
found,deepseek-r1-7b,en,baseline,pc2_q1,gtf,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/en/baseline/pc2_q1_gtf.yaml
found,deepseek-r1-7b,en,baseline,pc2_q1,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/en/baseline/pc2_q1_self.yaml
found,deepseek-r1-7b,en,baseline,pc4_q4,seq,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/en/baseline/pc4_q4_seq.yaml
found,deepseek-r1-7b,en,baseline,pc4_q4,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/en/baseline/pc4_q4_acc.yaml
found,deepseek-r1-7b,en,baseline,pc4_q4,gtf,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/en/baseline/pc4_q4_gtf.yaml
found,deepseek-r1-7b,en,baseline,pc4_q4,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/en/baseline/pc4_q4_self.yaml
