call1_model,strategy,cases,D1_mean_best_score,D1_coverage,D1_precision,D1_f1,D3_mean_best_score,D3_coverage,D3_precision,D3_f1,D4_mean_best_score,D4_coverage,D4_precision,D4_f1,D2_order_score,D2_order_coverage,D2_strict_order_score,overall_mean_score,overall_with_D2_score,D4_global_assumption_mean_best_score,D4_global_assumption_recall,D4_global_assumption_precision,D4_global_assumption_f1,D4_local_assumption_mean_best_score,D4_local_assumption_recall,D4_local_assumption_precision,D4_local_assumption_f1,D4_gt_precondition_mean_best_score,D4_gt_precondition_recall,D4_gt_precondition_precision,D4_gt_precondition_f1,D4_previous_outcome_mean_best_score,D4_previous_outcome_recall,D4_previous_outcome_precision,D4_previous_outcome_f1
llama3.1-8b,self,2,0.625924,0.700000,1.000000,0.785714,0.108298,0.150000,0.500000,0.230769,0.493045,0.477778,1.000000,0.642857,0.500000,0.500000,0.500000,0.409088,0.431816,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.512864,0.464286,1.000000,0.633333,0.400985,0.666667,1.000000,0.750000
llama3.1-8b,seq,2,0.656193,0.850000,0.916667,0.880435,0.127726,0.050000,0.333334,0.086957,0.544798,0.602778,1.000000,0.751082,0.500000,0.500000,0.500000,0.442906,0.457180,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.565760,0.607143,1.000000,0.750000,0.450071,0.750000,1.000000,0.833333
llama3.2-1b,acc,2,0.619302,0.700000,1.000000,0.785714,0.100376,0.150000,0.500000,0.230769,0.487832,0.502778,1.000000,0.667488,0.500000,0.500000,0.500000,0.402503,0.426877,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.505416,0.500000,1.000000,0.666667,0.400985,0.666667,1.000000,0.750000
llama3.2-1b,gtf,2,0.629170,0.850000,1.000000,0.911764,0.239231,0.350000,0.750000,0.416666,0.484320,0.508333,1.000000,0.659259,0.500000,0.500000,0.500000,0.450906,0.463180,0.347300,0.000000,0.000000,0.000000,0.954157,1.000000,1.000000,1.000000,0.504917,0.553571,1.000000,0.691729,0.400985,0.666667,1.000000,0.750000
llama3.2-1b,self,2,0.632883,0.850000,1.000000,0.911764,0.131205,0.150000,0.500000,0.230769,0.499820,0.452778,1.000000,0.616402,1.000000,0.583333,0.583333,0.421303,0.461811,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.522542,0.428571,1.000000,0.596491,0.400985,0.666667,1.000000,0.750000
llama3.2-1b,seq,2,0.698449,0.850000,0.750000,0.745098,0.301503,0.350000,0.625000,0.442857,0.505372,0.563889,0.812500,0.605794,1.000000,0.583333,0.583333,0.501775,0.522165,0.509192,0.500000,0.250000,0.333333,0.975164,1.000000,0.375000,0.545455,0.512530,0.553571,0.750000,0.563158,0.377108,0.666667,1.000000,0.750000
qwen2.5-coder-0.5b,acc,2,0.656798,0.850000,1.000000,0.911764,0.332313,0.350000,0.500000,0.392857,0.422991,0.558334,1.000000,0.710345,0.500000,0.500000,0.500000,0.470701,0.478025,0.334271,0.500000,0.500000,0.500000,0.604716,0.500000,0.500000,0.500000,0.453711,0.625000,1.000000,0.761905,0.367747,0.666667,1.000000,0.750000
qwen2.5-coder-0.5b,gtf,2,0.718707,0.850000,1.000000,0.911764,0.292769,0.400000,0.750000,0.480769,0.547960,0.613889,1.000000,0.747845,1.000000,0.583333,0.583333,0.519812,0.535692,0.655706,0.500000,0.500000,0.500000,0.966575,1.000000,1.000000,1.000000,0.555641,0.660714,1.000000,0.792208,0.432215,0.583333,1.000000,0.642857
qwen2.5-coder-0.5b,self,2,0.499159,0.650000,0.750000,0.687500,0.214244,0.100000,0.250000,0.142857,0.508245,0.502778,1.000000,0.667488,0.500000,0.500000,0.500000,0.407216,0.430412,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.534578,0.500000,1.000000,0.666667,0.400985,0.666667,1.000000,0.750000
qwen2.5-coder-0.5b,seq,2,0.654176,0.850000,0.888889,0.849264,0.316698,0.400000,0.611111,0.384615,0.516470,0.563889,1.000000,0.696759,0.500000,0.500000,0.500000,0.495781,0.496835,0.502874,0.500000,0.666667,0.571429,0.927836,1.000000,0.666667,0.800000,0.508690,0.553571,1.000000,0.691729,0.555549,0.666667,0.937500,0.716666
qwen3-0.6b,acc,2,0.673100,0.800000,0.875000,0.833333,0.284514,0.400000,0.750000,0.480769,0.487066,0.452778,1.000000,0.616402,0.500000,0.583333,0.500000,0.481560,0.486170,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.498789,0.464286,1.000000,0.633333,0.413895,0.583333,1.000000,0.642857
qwen3-0.6b,gtf,2,0.596820,0.850000,1.000000,0.911764,0.127599,0.150000,0.500000,0.230769,0.505087,0.527778,1.000000,0.690476,0.500000,0.500000,0.500000,0.409836,0.432376,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.520798,0.535714,1.000000,0.696970,0.422611,0.666667,1.000000,0.750000
qwen3-0.6b,self,2,0.660281,0.850000,1.000000,0.911764,0.086162,0.050000,0.250000,0.083334,0.508245,0.502778,1.000000,0.667488,0.500000,0.500000,0.500000,0.418229,0.438672,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.534578,0.500000,1.000000,0.666667,0.400985,0.666667,1.000000,0.750000
qwen3-0.6b,seq,2,0.666436,0.850000,1.000000,0.911764,0.101418,0.150000,0.333334,0.206897,0.499887,0.502778,1.000000,0.667488,1.000000,0.583333,0.583333,0.422580,0.462769,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.513369,0.500000,1.000000,0.666667,0.422611,0.666667,1.000000,0.750000
tinyllama,acc,2,0.613695,0.800000,1.000000,0.875000,0.126426,0.150000,0.500000,0.230769,0.456385,0.466666,1.000000,0.635659,0.500000,0.500000,0.500000,0.398835,0.424126,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.505232,0.464286,1.000000,0.633333,0.354691,0.552083,1.000000,0.704348
tinyllama,gtf,2,0.663018,0.850000,1.000000,0.911764,0.282435,0.350000,0.500000,0.392857,0.493880,0.588889,1.000000,0.723214,1.000000,0.583333,0.583333,0.479777,0.505667,0.557786,0.500000,0.500000,0.500000,0.736821,1.000000,1.000000,1.000000,0.507868,0.589286,1.000000,0.728571,0.469303,0.666667,1.000000,0.750000
tinyllama,self,2,0.600005,0.850000,1.000000,0.911764,0.269929,0.100000,0.500000,0.166666,0.502885,0.502778,1.000000,0.667488,1.000000,0.583333,0.583333,0.457607,0.489038,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.521388,0.535714,1.000000,0.696970,0.413895,0.583333,1.000000,0.642857
tinyllama,seq,2,0.519607,0.650000,0.750000,0.687500,0.235907,0.150000,0.500000,0.230769,0.452003,0.466666,1.000000,0.635659,0.500000,0.500000,0.500000,0.402506,0.426879,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.553297,0.535714,1.000000,0.696970,0.304417,0.489584,1.000000,0.638095
