source_file,language,pc,exercise,subquestion_index,field,atom_path,statement_type,text
data/ground_truth/en/pc2_q1.yaml,en,2,1,2,outcomes,subquestions[2].atoms/tuple[4],semantic_text,that \(X\) is a Brownian motion.
data/ground_truth/en/pc4_q4.yaml,en,4,4,,assumption_global,global,semantic_text,$W_t$ is a Brownian Motion.
data/ground_truth/en/pc4_q4.yaml,en,4,4,1,assumptions,subquestions[1].assumptions,semantic_text,$\tau$ is a bounded stopping time
data/ground_truth/en/pc4_q4.yaml,en,4,4,1,preconditions,subquestions[1].atoms/list[1],semantic_text,$(W_t)_{t\geq 0}$ is a martingale.
data/ground_truth/en/pc4_q4.yaml,en,4,4,1,preconditions,subquestions[1].atoms/list[1],semantic_text,$\tau$ is a bounded stopping time.
data/ground_truth/en/pc4_q4.yaml,en,4,4,1,arguments,subquestions[1].atoms/list[1],semantic_text,Apply Doob's optional stopping theorem to $(W_t)_{t\geq 0}$ at $\tau$
data/ground_truth/en/pc4_q4.yaml,en,4,4,1,outcomes,subquestions[1].atoms/list[1],formula,"\[ \mathbb{E}[W_\tau] = 0, \]"
data/ground_truth/en/pc4_q4.yaml,en,4,4,2,assumptions,subquestions[2].assumptions,semantic_text,$\tau$ is a bounded stopping time
data/ground_truth/en/pc4_q4.yaml,en,4,4,2,preconditions,subquestions[2].atoms/list[1],semantic_text,$(W_t^2-t)_{t\geq 0}$ is a martingale.
data/ground_truth/en/pc4_q4.yaml,en,4,4,2,preconditions,subquestions[2].atoms/list[1],semantic_text,$\tau$ is a bounded stopping time.
data/ground_truth/en/pc4_q4.yaml,en,4,4,2,arguments,subquestions[2].atoms/list[1],semantic_text,Apply Doob's optional stopping theorem to $(W_t^2-t)_{t\geq 0}$ at $\tau$
data/ground_truth/en/pc4_q4.yaml,en,4,4,2,outcomes,subquestions[2].atoms/list[1],formula,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]. \]
