language,pair_id,source_statement_id,concept,label,variant_index,cosine,threshold,recommended_threshold,predicted_match,expected_match,correct_at_threshold,text_a,text_b
ch,sem_0003_related_but_not_equivalent,sem_0003,pc2_q1_preconditions_sem_0003,related_but_not_equivalent,1,0.828025,0.580000,0.580000,True,False,False,对于 \(s \leq t\)，将 $X_t$ 分解为 \(X_t = X_s + (X_t - X_s)\)。,对于 $s\leq t$，考虑过程的增量 $X_t-X_s$。
ch,sem_0003_related_but_not_equivalent,sem_0003,pc2_q1_preconditions_sem_0003,related_but_not_equivalent,2,0.646160,0.580000,0.580000,True,False,False,对于 \(s \leq t\)，将 $X_t$ 分解为 \(X_t = X_s + (X_t - X_s)\)。,将 $X_t$ 表示为初值 $X_0$ 与后续变化之和。
ch,sem_0003_unrelated,sem_0003,pc2_q1_preconditions_sem_0003,unrelated,1,0.432319,0.580000,0.580000,False,False,True,对于 \(s \leq t\)，将 $X_t$ 分解为 \(X_t = X_s + (X_t - X_s)\)。,停时 $\tau$ 的期望是有限的。
ch,sem_0003_unrelated,sem_0003,pc2_q1_preconditions_sem_0003,unrelated,2,0.355100,0.580000,0.580000,False,False,True,对于 \(s \leq t\)，将 $X_t$ 分解为 \(X_t = X_s + (X_t - X_s)\)。,矩阵 $A$ 的所有特征值均为正数。
ch,sem_0004_equivalent,sem_0004,pc2_q1_arguments_sem_0004,equivalent,1,0.901629,0.580000,0.580000,True,True,True,由 \(X_s\) 与增量 \(X_t - X_s\) 的独立性，,$X_s$ 独立于从 $s$ 到 $t$ 的增量 $X_t-X_s$。
ch,sem_0004_equivalent,sem_0004,pc2_q1_arguments_sem_0004,equivalent,2,0.822033,0.580000,0.580000,True,True,True,由 \(X_s\) 与增量 \(X_t - X_s\) 的独立性，,利用过去值 $X_s$ 与未来增量 $X_t-X_s$ 相互独立这一性质。
ch,sem_0004_related_but_not_equivalent,sem_0004,pc2_q1_arguments_sem_0004,related_but_not_equivalent,1,0.678032,0.580000,0.580000,True,False,False,由 \(X_s\) 与增量 \(X_t - X_s\) 的独立性，,$X_s$ 与 $X_t-X_s$ 不相关。
ch,sem_0004_related_but_not_equivalent,sem_0004,pc2_q1_arguments_sem_0004,related_but_not_equivalent,2,0.716425,0.580000,0.580000,True,False,False,由 \(X_s\) 与增量 \(X_t - X_s\) 的独立性，,$X_s$ 和 $X_t$ 相互独立。
ch,sem_0004_unrelated,sem_0004,pc2_q1_arguments_sem_0004,unrelated,1,0.859353,0.580000,0.580000,True,False,False,由 \(X_s\) 与增量 \(X_t - X_s\) 的独立性，,随机变量 $X_s$ 的期望为零。
ch,sem_0004_unrelated,sem_0004,pc2_q1_arguments_sem_0004,unrelated,2,0.514704,0.580000,0.580000,False,False,True,由 \(X_s\) 与增量 \(X_t - X_s\) 的独立性，,函数 $g$ 在无穷远处趋于零。
ch,sem_0005_equivalent,sem_0005,pc2_q1_outcomes_sem_0005,equivalent,1,0.592332,0.580000,0.580000,True,True,True,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)。",$X_s$ 与 $X_t$ 的协方差等于两个时刻中的较小者。
ch,sem_0005_equivalent,sem_0005,pc2_q1_outcomes_sem_0005,equivalent,2,0.812519,0.580000,0.580000,True,True,True,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)。","\(\operatorname{Cov}(X_s,X_t)=s\wedge t\)。"
ch,sem_0005_related_but_not_equivalent,sem_0005,pc2_q1_outcomes_sem_0005,related_but_not_equivalent,1,0.842542,0.580000,0.580000,True,False,False,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)。","\(\operatorname{Cov}(X_s,X_t)=st\)。"
ch,sem_0005_related_but_not_equivalent,sem_0005,pc2_q1_outcomes_sem_0005,related_but_not_equivalent,2,0.353816,0.580000,0.580000,False,False,True,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)。",过程的协方差只依赖于时间差 $|t-s|$。
ch,sem_0005_unrelated,sem_0005,pc2_q1_outcomes_sem_0005,unrelated,1,0.215945,0.580000,0.580000,False,False,True,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)。",\(\mathbb{E}[\tau]<\infty\)。
ch,sem_0005_unrelated,sem_0005,pc2_q1_outcomes_sem_0005,unrelated,2,0.030240,0.580000,0.580000,False,False,True,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)。",随机变量 $N$ 服从二项分布。
ch,sem_0006_equivalent,sem_0006,pc4_q4_assumptions_sem_0006,equivalent,1,0.795392,0.580000,0.580000,True,True,True,$\tau$ 为有界停时，,存在有限常数 $C$，使得停时 $\tau\leq C$ 几乎处处成立。
ch,sem_0006_equivalent,sem_0006,pc4_q4_assumptions_sem_0006,equivalent,2,0.813760,0.580000,0.580000,True,True,True,$\tau$ 为有界停时，,$\tau$ 是具有确定有限上界的停时。
ch,sem_0006_related_but_not_equivalent,sem_0006,pc4_q4_assumptions_sem_0006,related_but_not_equivalent,1,0.887960,0.580000,0.580000,True,False,False,$\tau$ 为有界停时，,$\tau$ 是有限停时，但可能没有统一上界。
ch,sem_0006_related_but_not_equivalent,sem_0006,pc4_q4_assumptions_sem_0006,related_but_not_equivalent,2,0.650336,0.580000,0.580000,True,False,False,$\tau$ 为有界停时，,$\tau$ 是一个平方可积停时。
ch,sem_0006_unrelated,sem_0006,pc4_q4_assumptions_sem_0006,unrelated,1,0.422346,0.580000,0.580000,False,False,True,$\tau$ 为有界停时，,$W_t$ 的二次变差为 $t$。
ch,sem_0006_unrelated,sem_0006,pc4_q4_assumptions_sem_0006,unrelated,2,0.483157,0.580000,0.580000,False,False,True,$\tau$ 为有界停时，,序列 $(a_n)$ 单调递增。
ch,sem_0007_equivalent,sem_0007,pc2_q1_preconditions_sem_0007,equivalent,1,0.587795,0.580000,0.580000,True,True,True,标准布朗运动具有高斯增量（Gaussian increments）且,标准布朗运动在任意时间区间上的增量均服从高斯分布。
ch,sem_0007_equivalent,sem_0007,pc2_q1_preconditions_sem_0007,equivalent,2,0.258252,0.580000,0.580000,False,True,False,标准布朗运动具有高斯增量（Gaussian increments）且,若 $0\leq s<t$，则 $W_t-W_s$ 是正态随机变量。
ch,sem_0007_related_but_not_equivalent,sem_0007,pc2_q1_preconditions_sem_0007,related_but_not_equivalent,1,0.442228,0.580000,0.580000,False,False,True,标准布朗运动具有高斯增量（Gaussian increments）且,标准布朗运动具有独立增量。
ch,sem_0007_related_but_not_equivalent,sem_0007,pc2_q1_preconditions_sem_0007,related_but_not_equivalent,2,0.515702,0.580000,0.580000,False,False,True,标准布朗运动具有高斯增量（Gaussian increments）且,标准布朗运动的每个边际变量 $W_t$ 都服从高斯分布。
ch,sem_0007_unrelated,sem_0007,pc2_q1_preconditions_sem_0007,unrelated,1,0.361760,0.580000,0.580000,False,False,True,标准布朗运动具有高斯增量（Gaussian increments）且,泊松过程的增量服从泊松分布。
ch,sem_0007_unrelated,sem_0007,pc2_q1_preconditions_sem_0007,unrelated,2,0.422615,0.580000,0.580000,False,False,True,标准布朗运动具有高斯增量（Gaussian increments）且,停时 $\tau$ 被某个确定常数控制。
ch,sem_0008_equivalent,sem_0008,pc2_q1_arguments_sem_0008,equivalent,1,0.956726,0.580000,0.580000,True,True,True,独立高斯增量的线性组合，故其服从高斯分布。,相互独立的高斯随机变量的线性组合仍然是高斯随机变量。
ch,sem_0008_equivalent,sem_0008,pc2_q1_arguments_sem_0008,equivalent,2,0.773323,0.580000,0.580000,True,True,True,独立高斯增量的线性组合，故其服从高斯分布。,对独立正态增量作线性组合后，所得随机变量依然服从正态分布。
ch,sem_0008_related_but_not_equivalent,sem_0008,pc2_q1_arguments_sem_0008,related_but_not_equivalent,1,0.859733,0.580000,0.580000,True,False,False,独立高斯增量的线性组合，故其服从高斯分布。,独立随机变量的任意线性组合仍然相互独立。
ch,sem_0008_related_but_not_equivalent,sem_0008,pc2_q1_arguments_sem_0008,related_but_not_equivalent,2,0.846064,0.580000,0.580000,True,False,False,独立高斯增量的线性组合，故其服从高斯分布。,高斯随机变量的非线性函数仍服从高斯分布。
ch,sem_0008_unrelated,sem_0008,pc2_q1_arguments_sem_0008,unrelated,1,0.594196,0.580000,0.580000,True,False,False,独立高斯增量的线性组合，故其服从高斯分布。,连续函数在紧集上能够取得最大值。
ch,sem_0008_unrelated,sem_0008,pc2_q1_arguments_sem_0008,unrelated,2,0.626355,0.580000,0.580000,True,False,False,独立高斯增量的线性组合，故其服从高斯分布。,可选停时定理可应用于有界停时。
ch,sem_0009_equivalent,sem_0009,pc2_q1_outcomes_sem_0009,equivalent,1,0.861459,0.580000,0.580000,True,True,True,因此该过程为零均值高斯过程。,所以该随机过程是一个中心高斯过程。
ch,sem_0009_equivalent,sem_0009,pc2_q1_outcomes_sem_0009,equivalent,2,0.807004,0.580000,0.580000,True,True,True,因此该过程为零均值高斯过程。,因此该过程的任意有限维分布均为均值为零的高斯分布。
ch,sem_0009_related_but_not_equivalent,sem_0009,pc2_q1_outcomes_sem_0009,related_but_not_equivalent,1,0.676114,0.580000,0.580000,True,False,False,因此该过程为零均值高斯过程。,该过程在每个固定时刻的均值都为零。
ch,sem_0009_related_but_not_equivalent,sem_0009,pc2_q1_outcomes_sem_0009,related_but_not_equivalent,2,0.983585,0.580000,0.580000,True,False,False,因此该过程为零均值高斯过程。,该过程是高斯过程，但其均值函数未必为零。
ch,sem_0009_unrelated,sem_0009,pc2_q1_outcomes_sem_0009,unrelated,1,0.579950,0.580000,0.580000,False,False,True,因此该过程为零均值高斯过程。,该停时具有有限期望。
ch,sem_0009_unrelated,sem_0009,pc2_q1_outcomes_sem_0009,unrelated,2,0.711251,0.580000,0.580000,True,False,False,因此该过程为零均值高斯过程。,资产价格过程满足无套利条件。
ch,sem_0010_equivalent,sem_0010,pc2_q1_preconditions_sem_0010,equivalent,1,0.494008,0.580000,0.580000,False,True,False,\(X_0 = 0\)，,过程从原点开始，即初始值 $X(0)$ 为零。
ch,sem_0010_equivalent,sem_0010,pc2_q1_preconditions_sem_0010,equivalent,2,0.701956,0.580000,0.580000,True,True,True,\(X_0 = 0\)，,在时刻零有 $X_0=0$。
ch,sem_0010_related_but_not_equivalent,sem_0010,pc2_q1_preconditions_sem_0010,related_but_not_equivalent,1,0.685079,0.580000,0.580000,True,False,False,\(X_0 = 0\)，,$X_0$ 是一个均值为零的随机变量。
ch,sem_0010_related_but_not_equivalent,sem_0010,pc2_q1_preconditions_sem_0010,related_but_not_equivalent,2,0.577265,0.580000,0.580000,False,False,True,\(X_0 = 0\)，,过程在某个正时刻 $t$ 满足 $X_t=0$。
ch,sem_0010_unrelated,sem_0010,pc2_q1_preconditions_sem_0010,unrelated,1,0.207715,0.580000,0.580000,False,False,True,\(X_0 = 0\)，,$\tau$ 是有界停时。
ch,sem_0010_unrelated,sem_0010,pc2_q1_preconditions_sem_0010,unrelated,2,0.423372,0.580000,0.580000,False,False,True,\(X_0 = 0\)，,$X_t-X_s$ 服从泊松分布。
ch,sem_0011_equivalent,sem_0011,pc2_q1_arguments_sem_0011,equivalent,1,0.182234,0.580000,0.580000,False,True,False,Calculation,通过直接计算得到。
ch,sem_0011_equivalent,sem_0011,pc2_q1_arguments_sem_0011,equivalent,2,0.220193,0.580000,0.580000,False,True,False,Calculation,利用代数运算和公式计算。
ch,sem_0011_related_but_not_equivalent,sem_0011,pc2_q1_arguments_sem_0011,related_but_not_equivalent,1,0.180065,0.580000,0.580000,False,False,True,Calculation,应用布朗运动的定义。
ch,sem_0011_related_but_not_equivalent,sem_0011,pc2_q1_arguments_sem_0011,related_but_not_equivalent,2,0.186941,0.580000,0.580000,False,False,True,Calculation,由一个概率论定理立即可得。
ch,sem_0011_unrelated,sem_0011,pc2_q1_arguments_sem_0011,unrelated,1,0.197836,0.580000,0.580000,False,False,True,Calculation,该过程的样本路径连续。
ch,sem_0011_unrelated,sem_0011,pc2_q1_arguments_sem_0011,unrelated,2,0.117920,0.580000,0.580000,False,False,True,Calculation,停时 $\tau$ 几乎处处有限。
ch,sem_0012_equivalent,sem_0012,pc2_q1_outcomes_sem_0012,equivalent,1,0.600681,0.580000,0.580000,True,True,True,不相交时间段的增量是不不相关的（uncorrelated），进而由于是高斯向量（Gaussian vector）可知其相互独立。,不重叠区间上的增量协方差为零；由于这些增量联合高斯，它们因此相互独立。
ch,sem_0012_equivalent,sem_0012,pc2_q1_outcomes_sem_0012,equivalent,2,0.629709,0.580000,0.580000,True,True,True,不相交时间段的增量是不不相关的（uncorrelated），进而由于是高斯向量（Gaussian vector）可知其相互独立。,互不相交时间区间的高斯增量两两不相关，而联合高斯性进一步推出它们独立。
ch,sem_0012_related_but_not_equivalent,sem_0012,pc2_q1_outcomes_sem_0012,related_but_not_equivalent,1,0.630640,0.580000,0.580000,True,False,False,不相交时间段的增量是不不相关的（uncorrelated），进而由于是高斯向量（Gaussian vector）可知其相互独立。,不相交时间段上的增量彼此不相关，但不假设它们联合高斯。
ch,sem_0012_related_but_not_equivalent,sem_0012,pc2_q1_outcomes_sem_0012,related_but_not_equivalent,2,0.528522,0.580000,0.580000,False,False,True,不相交时间段的增量是不不相关的（uncorrelated），进而由于是高斯向量（Gaussian vector）可知其相互独立。,重叠时间段上的高斯增量通常具有非零协方差。
ch,sem_0012_unrelated,sem_0012,pc2_q1_outcomes_sem_0012,unrelated,1,0.288755,0.580000,0.580000,False,False,True,不相交时间段的增量是不不相关的（uncorrelated），进而由于是高斯向量（Gaussian vector）可知其相互独立。,有界停时 $\tau$ 满足 $\mathbb{E}[W_\tau]=0$。
ch,sem_0012_unrelated,sem_0012,pc2_q1_outcomes_sem_0012,unrelated,2,0.357829,0.580000,0.580000,False,False,True,不相交时间段的增量是不不相关的（uncorrelated），进而由于是高斯向量（Gaussian vector）可知其相互独立。,随机变量序列依概率收敛到常数。
